"CompoundID","myb_tri","col","log2fc","pvalue","FDR","VIP","Compound_name","Name","assumed_isotopic_group","mean_peak","ions","CD_Check","cid","MolecularFormula","MolecularWeight","InChIKey","IUPACName","ExactMass","kingdom","superclass","class","subclass","level.5","level.6","level.7","level.8","level.9","mf","mw","RT","Judge","KEGG","Check_MF","Check_MW","High_identical"
"Compound_0150",200642781.066667,181944161.866667,0.141133490833685,0.0365049336502663,0.678383350334116,1.58089559707896,"2,4-Dimethylthiazole-isoform1","2,4-Dimethylthiazole-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C5 H7 N S",113.02994,4.7,NA,NA,NA,NA,NA
"Compound_0151",5120791232.66667,4373640789.66667,0.227532008025393,0.00553682746347342,0.398516587920103,1.77416228956771,"2,4-Dimethylthiazole-isoform2","2,4-Dimethylthiazole-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C5 H7 N S",113.02995,6.19,NA,NA,NA,NA,NA
"Compound_0160",12314210.4566667,8075618.20833333,0.60867951935033,0.0484961084174366,0.720975478472557,1.53975596519694,"2,6-Di-O-Acetyl isovitexin-isoform2","2,6-Di-O-Acetyl isovitexin-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C25 H24 O12",516.12568,7.686,NA,NA,NA,NA,NA
"Compound_0171",352554196.233333,314110504.333333,0.16657286248344,0.024325503211835,0.617745919534452,1.75640735487738,"3-(Propyldisulfanyl)-L-alanine","3-(Propyldisulfanyl)-L-alanine",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C6 H13 N O2 S2",195.03856,3.294,NA,NA,NA,NA,NA
"Compound_0196",88183743.95,73287522.9366667,0.266945126518086,0.0314068529500522,0.633902346439173,1.74283541177259,"3,4-Dihydro-2H-thiopyran-isoform2","3,4-Dihydro-2H-thiopyran-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C5 H8 S",100.03471,6.202,NA,NA,NA,NA,NA
"Compound_0214",577379639.833333,493718518.866667,0.225831474564512,0.00625474465345453,0.398516587920103,1.79973516674169,"4-(Methylsulfanyl)butan-2-one-isoform2","4-(Methylsulfanyl)butan-2-one-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C5 H10 O S",118.04522,6.19,NA,NA,NA,NA,NA
"Compound_0219",4517157.41933333,2492935.59266667,0.857569581494031,0.0326900313186121,0.633902346439173,1.60736548883851,"4-Amino-2,2,5,5-tetramethyl-1-oxo-2,5-dihydro-1H-imidazol-1-ium","4-Amino-2,2,5,5-tetramethyl-1-oxo-2,5-dihydro-1H-imidazol-1-ium",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C7 H14 N3 O",156.11363,6.091,NA,NA,NA,NA,NA
"Compound_0271",32123551.7733333,21972623.4566667,0.54792428178927,0.0173764981970027,0.617745919534452,1.6809206644067,"6-Hydroxynicotinic acid","6-Hydroxynicotinic acid",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C6 H5 N O3",139.02677,1.479,NA,NA,NA,NA,NA
"Compound_0287",3166468.89466667,2296841.838,0.463223392145342,0.0479917634643985,0.720975478472557,1.55514040271969,"7,9-di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione","7,9-di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C17 H24 O3",276.17252,11.384,NA,NA,NA,NA,NA
"Compound_0288",2475924.927,1280212.844,0.951583883054098,0.00555727541754033,0.398516587920103,1.79298035756487,"8-(1,2-diaminoethyl)-1,3-dimethyl-7H-purine-2,6-dione","8-(1,2-diaminoethyl)-1,3-dimethyl-7H-purine-2,6-dione",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C9 H14 N6 O2",238.11856,7.289,NA,NA,NA,NA,NA
"Compound_0293",6843322.095,13051169.9633333,-0.93141038453166,0.0423586414947752,0.70858621920406,1.70520755929069,"8-(methylsulfinyl)octylamine-isoform2","8-(methylsulfinyl)octylamine-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C9 H21 N O S",191.13422,7.714,NA,NA,NA,NA,NA
"Compound_0304",8837785.811,6880107.05266667,0.361253953885892,0.0213918994823185,0.617745919534452,1.72448560729995,"a-Hydroxycyclohexylphenylketone-isoform3","a-Hydroxycyclohexylphenylketone-isoform3",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C13 H16 O2",204.11484,9.704,NA,NA,NA,NA,NA
"Compound_0317",4905203.90933333,1925760.30066667,1.34888496838314,0.0088050215921545,0.418491389921499,1.73773832837967,"Aeruginosin GE686","Aeruginosin GE686",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C29 H44 Br Cl N6 O6",686.22182,13.543,NA,NA,NA,NA,NA
"Compound_0332",2609436.87266667,2093326.102,0.317941426135705,0.0460716575126587,0.720975478472557,1.55284658575244,"Allyl 3-phenylpropanoate","Allyl 3-phenylpropanoate",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C12 H14 O2",190.09912,10.32,NA,NA,NA,NA,NA
"Compound_0360",25460254.6366667,16698255.83,0.608549430335545,0.0427786791730215,0.70858621920406,1.63114935135118,"Artonin K-isoform2","Artonin K-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C21 H18 O7",382.10425,9.254,NA,NA,NA,NA,NA
"Compound_0404",5228183.80833333,530880.1397,3.29985178698993,0.0239867670137629,0.617745919534452,1.76566017928523,"cetyl sulfate","cetyl sulfate",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C16 H34 O4 S",322.21759,14.637,NA,NA,NA,NA,NA
"Compound_0409",29207870.8966667,23409672.59,0.319252440047742,0.00682272550246983,0.405724743213539,1.85050813584895,"Chrysin 7- (4-acetylglucoside)	Chrysin 7- (4-acetylglucoside)","",NA,"pos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23 H22 O10","458.12027",7.942,NA,NA,NA,NA,NA,NA
"Compound_0414",12537679.3933333,8840516.351,0.504067802388179,0.0256498081560099,0.618368347977319,1.65503070771293,"cis-2,4,6-Trimethyl-2,4,6-triphenylcyclotrisiloxane","cis-2,4,6-Trimethyl-2,4,6-triphenylcyclotrisiloxane",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C21 H24 O3 Si3",408.10217,4.683,NA,NA,NA,NA,NA
"Compound_0452",397731701.066667,259219640.433333,0.617620524419913,0.0293520387673704,0.633902346439173,1.68028965702438,"CZ4340000","CZ4340000",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C10 H9 N O6",239.04287,1.671,NA,NA,NA,NA,NA
"Compound_0456",3560935.08233333,2384562.32233333,0.578531645725564,0.0380101671168184,0.684698367684077,1.73864914796758,"Deca-5,7,9-triynol","Deca-5,7,9-triynol",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C10 H10 O",146.07295,9.703,NA,NA,NA,NA,NA
"Compound_0483",13904337.55,27352790.9666667,-0.97615303580039,0.023885316181247,0.617745919534452,1.72113521342992,"diisopropylethylamine","diisopropylethylamine",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C8 H19 N",129.15163,3.383,NA,NA,NA,NA,NA
"Compound_0495",14540171.0033333,11593588.1633333,0.326717093460961,0.0273100682133593,0.631813519932063,1.72924663349664,"Epigallocatechin 3-O- (3,5-di-O-methylgallate)","Epigallocatechin 3-O- (3,5-di-O-methylgallate)",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C24 H22 O11",486.11519,7.024,NA,NA,NA,NA,NA
"Compound_0550",73798341.5866667,50687344.4066667,0.541962815333127,0.0120874313372653,0.539099437642034,1.71018068772724,"Hybocarpone-isoform1","Hybocarpone-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C26 H24 O13",544.12028,6.34,NA,NA,NA,NA,NA
"Compound_0551",5600817.67733333,3524769.99266667,0.6681083470462,0.0232333790619492,0.617745919534452,1.67962357039283,"Hybocarpone-isoform2","Hybocarpone-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C26 H24 O13",544.12035,7.685,NA,NA,NA,NA,NA
"Compound_0557",312139956.5,270651019.833333,0.205759221747948,0.0249314496673097,0.617745919534452,1.69933018734629,"iberin","iberin",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C5 H9 N O S2",163.01235,3.311,NA,NA,NA,NA,NA
"Compound_0579",8887154.315,4083719.562,1.12183774251661,0.0338960558401127,0.643303868284693,1.59774460097463,"JBIR-94-isoform2","JBIR-94-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C24 H32 N2 O6",444.22663,12.947,NA,NA,NA,NA,NA
"Compound_0593",171351675.533333,81472851.72,1.07256898754807,0.0395031300203309,0.690917489767355,1.68991526893339,"L-Aspartic acid","L-Aspartic acid",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C4 H7 N O4",133.03752,1.266,NA,NA,NA,NA,NA
"Compound_0600",38354459.5266667,25573693.1466667,0.584733813635862,0.00502714250408184,0.398516587920103,1.79626764148136,"Laxiflorin","Laxiflorin",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C23 H26 O7",414.16683,6.282,NA,NA,NA,NA,NA
"Compound_0621",2103434.54166667,2805303.70133333,-0.415410042506806,0.00540437651150955,0.398516587920103,1.77450162892258,"MFCD00184957","MFCD00184957",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C16 H22",214.17177,13.522,NA,NA,NA,NA,NA
"Compound_0649",14908288.29,8310654.82133333,0.843080561817624,0.00619228360781491,0.398516587920103,1.75956838316569,"N-Succinyl-LL-2,6-diaminoheptanedioate","N-Succinyl-LL-2,6-diaminoheptanedioate",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C11 H18 N2 O7",290.11199,1.675,NA,NA,NA,NA,NA
"Compound_0650",20137491.0133333,10193370.469,0.98225278320946,0.03837995334552,0.684698367684077,1.57196065588826,"N,4-Dimethyl-N-[(2S)-3-methyl-1-sulfanyl-2-butanyl]benzenesulfonamide","N,4-Dimethyl-N-[(2S)-3-methyl-1-sulfanyl-2-butanyl]benzenesulfonamide",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C13 H21 N O2 S2",287.10112,7.625,NA,NA,NA,NA,NA
"Compound_0651",59698804.3966667,18508970.6933333,1.68947737116383,0.0219867329249604,0.617745919534452,1.71960339522552,"N,N-Bis(methylsulfonyl)-O-methylhydroxylamine","N,N-Bis(methylsulfonyl)-O-methylhydroxylamine",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C3 H9 N O5 S2",202.99276,1.309,NA,NA,NA,NA,NA
"Compound_0662",11898111.7366667,6445798.95833333,0.884301534814299,0.0476237248438516,0.720975478472557,1.64876063502672,"NCGC00169787-02!(2R,3R,4S,5S,6R)-2-[[7-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-6-methoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","NCGC00169787-02!(2R,3R,4S,5S,6R)-2-[[7-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-6-methoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C26 H34 O11",539.23531,6.138,NA,NA,NA,NA,NA
"Compound_0663",14492409.3433333,11069197.7266667,0.388746798666831,0.0234812724186431,0.617745919534452,1.67835663698937,"NCGC00180259-02!2-(hydroxymethyl)-6-[4-[(2S,3S)-3-(hydroxymethyl)-5-[(E)-3-hydroxyprop-1-enyl]-7-methoxy-2,3-dihydro-1-benzofuran-2-yl]-2-methoxyphenoxy]oxane-3,4,5-triol","NCGC00180259-02!2-(hydroxymethyl)-6-[4-[(2S,3S)-3-(hydroxymethyl)-5-[(E)-3-hydroxyprop-1-enyl]-7-methoxy-2,3-dihydro-1-benzofuran-2-yl]-2-methoxyphenoxy]oxane-3,4,5-triol",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C26 H32 O11",502.18264,6.154,NA,NA,NA,NA,NA
"Compound_0673",15339580.9866667,13070988.62,0.230890811938329,0.00351751477665773,0.392202897597337,1.80050208486379,"NCGC00380688-01_C13H16O4_1-[3-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-1-benzofuran-5-yl]ethanone","NCGC00380688-01_C13H16O4_1-[3-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-1-benzofuran-5-yl]ethanone",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C13 H16 O4",236.10463,7.044,NA,NA,NA,NA,NA
"Compound_0676",70304254.9366667,55635521.37,0.337605718003534,0.00241448074013472,0.392202897597337,1.85918772600131,"NCGC00380712-01_C19H18O6_1,3-Cyclobutanedicarboxylic acid, 2,4-bis(4-hydroxyphenyl)-, monomethyl ester-isoform2","NCGC00380712-01_C19H18O6_1,3-Cyclobutanedicarboxylic acid, 2,4-bis(4-hydroxyphenyl)-, monomethyl ester-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C19 H18 O6",342.10991,7.944,NA,NA,NA,NA,NA
"Compound_0719",6112148.88633333,3870770.469,0.659058926056891,0.0450189339635786,0.720975478472557,1.56149916965847,"O-heptanoylcarnitine","O-heptanoylcarnitine",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C14 H27 N O4",273.19382,8.803,NA,NA,NA,NA,NA
"Compound_0739",11296398.6133333,8648946.84433333,0.385266526639983,0.0149425053161517,0.617745919534452,1.80817841422845,"Penfluridol","Penfluridol",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C28 H27 Cl F5 N O",523.16767,6.723,NA,NA,NA,NA,NA
"Compound_0751",452538665.7,372810145.366667,0.279599942953107,0.00764904488467277,0.418491389921499,1.75998915938516,"Phenol red","Phenol red",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C19 H14 O5 S",354.0555,6.188,NA,NA,NA,NA,NA
"Compound_0775",1975619.29373333,11233836.262,-2.50747381203113,0.00351091073574075,0.392202897597337,1.82446932362042,"Propentofylline","Propentofylline",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C15 H22 N4 O3",306.16885,3.005,NA,NA,NA,NA,NA
"Compound_0781",3162554.317,2160651.26133333,0.549624024737004,0.00871499293432277,0.418491389921499,1.74080194678846,"Pyrronamycin A","Pyrronamycin A",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C23 H29 N11 O5",539.23516,5.775,NA,NA,NA,NA,NA
"Compound_0798",28056579.9266667,24187603.4266667,0.214071326109468,0.0210938789549128,0.617745919534452,1.71135274009761,"S-trans-1-propenyl-L-cysteine-isoform3","S-trans-1-propenyl-L-cysteine-isoform3",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C6 H11 N O2 S",161.05088,6.2,NA,NA,NA,NA,NA
"Compound_0821",129088838.033333,94555225.8133333,0.449135160684725,0.0480277374758504,0.720975478472557,1.54808756814185,"Stachyline B-isoform1","Stachyline B-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C13 H16 O4",236.10459,6.126,NA,NA,NA,NA,NA
"Compound_0828",1978838218.33333,1718174313.33333,0.203777259265906,0.00319145551652758,0.392202897597337,1.79580983496826,"Sulforaphane-isoform1","Sulforaphane-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C6 H11 N O S2",177.0278,4.687,NA,NA,NA,NA,NA
"Compound_0829",12986111604.3333,10878161965,0.255534701871554,0.0282854827325114,0.631813519932063,1.73043549747047,"Sulforaphane-isoform2","Sulforaphane-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C6 H11 N O S2",177.02775,6.19,NA,NA,NA,NA,NA
"Compound_0836",1636516414,1442578069.33333,0.181978675810548,0.0204725122604423,0.617745919534452,1.75013903197879,"Taylorflavin A-isoform1","Taylorflavin A-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C7 H7 N5 O3",209.05407,4.675,NA,NA,NA,NA,NA
"Compound_0842",443480826.033333,391247202.3,0.180791294945745,0.0215306704512404,0.617745919534452,1.72546761308685,"Tetramethylene sulfoxide-isoform2","Tetramethylene sulfoxide-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C4 H8 O S",104.02974,4.604,NA,NA,NA,NA,NA
"Compound_0871",3298009.219,5031505.06266667,-0.609394583095357,0.0283324448400028,0.631813519932063,1.71156782072991,"Tumonoic acid F","Tumonoic acid F",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C21 H37 N O5",383.26599,10.562,NA,NA,NA,NA,NA
"Compound_0883",28125060.5933333,22919828.0966667,0.295259980879652,0.00301487571111108,0.392202897597337,1.80840478410568,"Venturamide A-isoform2","Venturamide A-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C21 H24 N6 O4 S2",488.13072,7.946,NA,NA,NA,NA,NA
"Compound_0889",86762295.7866667,72034559.6966667,0.268379000208372,0.0230291521192511,0.617745919534452,1.78498652808658,"XJ5565700","XJ5565700",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C5 H11 N S",117.06122,6.193,NA,NA,NA,NA,NA
